Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
25,0.0,951883.9391147342,67543.2,1194784.0915958462,942676.2596775739,76750.87943716021,21254.007453007853,52460794.712555364,445336989.2180872
26,0.0,965193.6936013774,64987.169954658064,1220860.1714641633,953429.9841188753,76750.87943716021,24375.362690666225,52460794.712555364,445336989.2180872
27,0.0,974112.8899993956,2556.0300453419622,1237518.3895970476,899918.0406075773,76750.87943716021,40380.479415962036,52460794.712555364,445336989.2180872
28,0.0,973763.4959028102,87543.2,1255396.6105921485,984555.81646565,76750.87943716021,38700.72599758376,52460794.712555364,445336989.2180872
29,0.0,971076.13420735,95086.4,1235848.2728322975,989411.6547701898,76750.87943716021,36982.232326140314,52460794.712555364,445336989.2180872
30,0.0,964622.2855391284,87543.20000000001,1228294.8921372064,975414.6061019682,76750.87943716021,24528.567949486664,52460794.712555364,445336989.2180872
31,0.0,977829.3458673505,0.0,1256576.7852553003,901078.4664301903,76750.87943716021,39472.25,52460794.712555364,445336989.2180872
32,0.0,969100.7282664572,135086.4,1242670.4417386646,1027436.2488292969,76750.87943716021,27807.288908431936,52460794.712555364,445336989.2180872
33,0.0,972984.0638225788,67543.2,1222929.2212493122,963776.3843854185,76750.87943716021,20918.968544575917,52460794.712555364,445336989.2180872
34,0.0,977022.7587795962,67543.2,1255720.9894490247,967815.079342436,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
35,0.0,975081.4202687441,67543.2,1261955.4573511675,965873.7408315839,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
36,0.0,948282.8515348256,67543.2,1176268.3039070545,939075.1720976654,76750.87943716021,19321.631629503292,52460794.712555364,445336989.2180872
37,0.0,968457.2363264854,67543.2,1210744.5080864069,959249.5568893251,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
38,0.0,962362.8220595004,67543.2,1210608.4034688903,953155.1426223401,76750.87943716021,30304.39072771204,52460794.712555364,445336989.2180872
39,0.0,950173.6651964053,80127.83335954056,1195474.4883219632,939250.4130619366,91051.0854940092,22938.307202162698,52460794.712555364,445336989.2180872
40,0.0,957477.5479637958,47543.2,1214892.8102497526,928269.8685266356,76750.87943716021,33081.024002416234,52460794.712555364,445336989.2180872
41,0.0,963892.0621774184,80000.0,1217961.0005849483,967141.1827402582,76750.87943716021,26147.444542159687,52460794.712555364,445336989.2180872
42,0.0,963816.851042951,75086.4,1216718.2873534816,962152.3716057907,76750.87943716021,32802.17218313613,52460794.712555364,445336989.2180872
43,0.0,966238.0929142216,47543.2,1209641.8478647098,937030.4134770613,76750.87943716021,31243.774002416234,52460794.712555364,445336989.2180872
44,0.0,951125.2433639732,87543.20000000001,1191015.4651679653,961917.563926813,76750.87943716021,30891.546354730785,52460794.712555364,445336989.2180872
45,0.0,953293.2030798531,67543.2,1190305.4847039548,944085.5236426928,76750.87943716021,22360.570363856023,52460794.712555364,445336989.2180872
46,0.0,962997.0979572724,67543.20000000001,1219861.0302887275,953789.4185201123,76750.87943716021,18972.980975134356,52460794.712555364,445336989.2180872
47,0.0,957723.2601003345,27543.2,1231317.331215917,908515.5806631743,76750.87943716021,33690.492546992136,52460794.712555364,445336989.2180872
48,0.0,969554.9575400552,107543.2,1246969.989495313,1000347.2781028947,76750.87943716021,30086.14818071989,52460794.712555364,445336989.2180872
49,0.0,988418.4951782502,67543.2,1256647.7174795296,979210.81574109,76750.87943716021,26802.172183136125,52460794.712555364,445336989.2180872
50,0.0,981390.6058735832,67543.2,1248180.2819454758,972182.926436423,76750.87943716021,26248.89072771204,52460794.712555364,445336989.2180872
51,0.0,982126.2604244142,40000.0,1298940.622937849,945375.380987254,76750.87943716021,29700.725997583777,52460794.712555364,445336989.2180872
52,0.0,990217.9692406452,95086.4,1319789.2756782137,1008553.4898034849,76750.87943716021,32416.07036385602,52460794.712555364,445336989.2180872
53,0.0,989746.9523425237,61412.0622673497,1324766.8765493403,963920.3648275668,87238.64978230663,26675.925227805285,52460794.712555364,445336989.2180872
54,0.0,979161.7533000427,82903.90715479977,1277570.7586553823,985314.7810176822,76750.87943716021,23235.89650751513,52460794.712555364,445336989.2180872
55,0.0,976469.1252054129,67543.2,1265640.4789886668,967261.4457682526,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
