Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
77,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481342,57231472.607204266,474124441.4598438
78,0.0,0.0,53557.5263,0.0,53557.5263,0.0,25738.25762476014,57231472.607204266,474124441.4598438
79,0.0,731.6841,14417.815352640784,731.6841,15149.499452640785,0.0,10369.090848679998,57231472.607204266,474124441.4598438
80,0.0,47088.631499999996,0.0,47088.631499999996,47088.631499999996,0.0,10369.090848679998,57231472.607204266,474124441.4598438
81,0.0,94253.8422,0.0,94253.8422,94253.8422,0.0,10369.090848679998,57231472.607204266,474124441.4598438
82,0.0,130779.1578,0.0,130779.1578,100000.0,30779.1578,39243.01878086,57231472.607204266,474124441.4598438
83,0.0,104508.42109999995,0.0,156579.94739999998,100000.0,4508.421099999949,43472.368614769955,57231472.607204266,474124441.4598438
84,0.0,153557.5263,0.0,163703.68409999998,100000.0,53557.5263,93714.68403679995,57231472.607204266,474124441.4598438
85,0.0,153557.5263,0.0,161075.0526,100000.0,53557.5263,143956.99945883,57231472.607204266,474124441.4598438
86,0.0,138286.63150000002,0.0,140031.6315,100000.0,38286.63150000003,179873.68846898002,57231472.607204266,474124441.4598438
87,0.0,118269.94740000003,0.0,118269.94739999999,100000.0,18269.947400000034,197012.72612492,57231472.607204266,474124441.4598438
88,0.0,79954.8948,0.0,79954.8948,79954.8948,0.0,197012.72612492,57231472.607204266,474124441.4598438
89,0.0,39290.8422,0.0,39290.8422,39290.8422,0.0,197012.72612492,57231472.607204266,474124441.4598438
90,0.0,3943.5789000000004,0.0,3943.5789000000004,3943.5789000000004,0.0,197012.72612492,57231472.607204266,474124441.4598438
91,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
92,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
93,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
94,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
95,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
96,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
97,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
98,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
99,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
100,0.0,0.0,53557.5263,0.0,53557.5263,0.0,25738.257624760154,57231472.607204266,474124441.4598438
101,0.0,0.0,0.0,0.0,0.0,0.0,25738.257624760154,57231472.607204266,474124441.4598438
